                  Time[d],	              TimeStep[d],	                 Qo[m3/d],	                 Qw[m3/d],	                 Qg[m3/d],	                Qwi[m3/d],	             PwfProd[bar],	              PwfInj[bar],	             PwhProd[bar],	              PwhInj[bar],	            QgFlare[m3/d],	             QgFuel[m3/d],	              QgExp[m3/d],	                 Pump[MW],	                  ESP[MW],	             ExpCompr[MW],	           TotalPower[MW],	    GasEmission[tonCO2/d],	 DieselEmission[tonCO2/d],	  TotalEmission[tonCO2/d],	      CumEmission[tonCO2],	   RelEmission[kgCO2/boe]
                    28.80,	                     1.23,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1180.62,	                    20.00,	                   905.32,	                    41.10,	                  2014.09,	                     0.00,	                     1.40,	                     0.29,	                     0.00,	                     1.69,	                     3.79,	                     9.96,	                    13.75,	                   430.31,	                    13.36
                    30.28,	                     1.48,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1177.44,	                    20.00,	                   902.14,	                    41.10,	                  2014.09,	                     0.00,	                     1.39,	                     0.29,	                     0.00,	                     1.68,	                     3.79,	                     9.93,	                    13.72,	                   450.64,	                    13.33
                    31.17,	                     0.89,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1170.98,	                    20.00,	                   895.68,	                    41.10,	                  2014.09,	                     0.00,	                     1.38,	                     0.29,	                     0.00,	                     1.67,	                     3.79,	                     9.87,	                    13.67,	                   462.79,	                    13.27
                    32.24,	                     1.07,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1168.96,	                    20.00,	                   893.66,	                    41.10,	                  2014.09,	                     0.00,	                     1.38,	                     0.29,	                     0.00,	                     1.67,	                     3.79,	                     9.85,	                    13.65,	                   477.34,	                    13.25
                    33.52,	                     1.28,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1162.35,	                    20.00,	                   887.04,	                    41.10,	                  2014.09,	                     0.00,	                     1.37,	                     0.29,	                     0.00,	                     1.66,	                     3.79,	                     9.79,	                    13.59,	                   494.73,	                    13.20
                    35.05,	                     1.54,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1159.80,	                    20.00,	                   884.49,	                    41.10,	                  2014.09,	                     0.00,	                     1.36,	                     0.29,	                     0.00,	                     1.66,	                     3.79,	                     9.77,	                    13.56,	                   515.56,	                    13.17
                    35.97,	                     0.92,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1153.98,	                    20.00,	                   878.68,	                    41.10,	                  2014.09,	                     0.00,	                     1.35,	                     0.29,	                     0.00,	                     1.65,	                     3.79,	                     9.72,	                    13.51,	                   528.01,	                    13.12
                    37.08,	                     1.11,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1152.34,	                    20.00,	                   877.04,	                    41.10,	                  2014.09,	                     0.00,	                     1.35,	                     0.29,	                     0.00,	                     1.64,	                     3.79,	                     9.70,	                    13.50,	                   542.93,	                    13.11
                    38.41,	                     1.33,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1146.39,	                    20.00,	                   871.09,	                    41.10,	                  2014.09,	                     0.00,	                     1.34,	                     0.29,	                     0.00,	                     1.63,	                     3.79,	                     9.65,	                    13.44,	                   560.76,	                    13.05
                    40.00,	                     1.59,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1144.29,	                    20.00,	                   868.99,	                    41.10,	                  2014.09,	                     0.00,	                     1.34,	                     0.29,	                     0.00,	                     1.63,	                     3.79,	                     9.63,	                    13.42,	                   582.14,	                    13.04
                    40.95,	                     0.96,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1138.95,	                    20.00,	                   863.65,	                    41.10,	                  2014.09,	                     0.00,	                     1.33,	                     0.29,	                     0.00,	                     1.62,	                     3.79,	                     9.58,	                    13.37,	                   594.91,	                    12.99
                    41.81,	                     0.85,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1137.94,	                    20.00,	                   862.63,	                    41.10,	                  2014.09,	                     0.00,	                     1.33,	                     0.29,	                     0.00,	                     1.62,	                     3.79,	                     9.57,	                    13.36,	                   606.34,	                    12.98
